x-axis,1,2,3
second,Volt,Ampere,Volt
-2.3500E+00,+2.8702E+00,+3.2962E+00,+3.4816E+00
-2.3400E+00,+2.8686E+00,+3.3212E+00,+3.4847E+00
-2.3300E+00,+2.8692E+00,+3.3275E+00,+3.4816E+00
-2.3200E+00,+2.8689E+00,+3.3587E+00,+3.4831E+00
-2.3100E+00,+2.8692E+00,+3.3650E+00,+3.4816E+00
-2.3000E+00,+2.8705E+00,+3.3837E+00,+3.4800E+00
-2.2900E+00,+2.8689E+00,+3.4025E+00,+3.4784E+00
-2.2800E+00,+2.8702E+00,+3.4087E+00,+3.4831E+00
-2.2700E+00,+2.8696E+00,+3.4275E+00,+3.4800E+00
-2.2600E+00,+2.8702E+00,+3.4400E+00,+3.4816E+00
-2.2500E+00,+2.8699E+00,+3.4525E+00,+3.4816E+00
-2.2400E+00,+2.8699E+00,+3.4650E+00,+3.4831E+00
-2.2300E+00,+2.8696E+00,+3.4712E+00,+3.4816E+00
-2.2200E+00,+2.8705E+00,+3.4775E+00,+3.4816E+00
-2.2100E+00,+2.8702E+00,+3.4837E+00,+3.4862E+00
-2.2000E+00,+2.8696E+00,+3.4900E+00,+3.4847E+00
-2.1900E+00,+2.8699E+00,+3.4900E+00,+3.4909E+00
-2.1800E+00,+2.8692E+00,+3.4962E+00,+3.4847E+00
-2.1700E+00,+2.8699E+00,+3.4962E+00,+3.4878E+00
-2.1600E+00,+2.8696E+00,+3.4900E+00,+3.4862E+00
-2.1500E+00,+2.8692E+00,+3.5025E+00,+3.4894E+00
-2.1400E+00,+2.8702E+00,+3.5087E+00,+3.4894E+00
-2.1300E+00,+2.8696E+00,+3.5087E+00,+3.4925E+00
-2.1200E+00,+2.8692E+00,+3.4962E+00,+3.4862E+00
-2.1100E+00,+2.8702E+00,+3.4962E+00,+3.4941E+00
-2.1000E+00,+2.8692E+00,+3.4900E+00,+3.4987E+00
-2.0900E+00,+2.8696E+00,+3.4900E+00,+3.5019E+00
-2.0800E+00,+2.8699E+00,+3.4775E+00,+3.4972E+00
-2.0700E+00,+2.8696E+00,+3.4712E+00,+3.5003E+00
-2.0600E+00,+2.8699E+00,+3.4712E+00,+3.5003E+00
-2.0500E+00,+2.8696E+00,+3.4650E+00,+3.5034E+00
-2.0400E+00,+2.8705E+00,+3.4650E+00,+3.5081E+00
-2.0300E+00,+2.8702E+00,+3.4400E+00,+3.5112E+00
-2.0200E+00,+2.8702E+00,+3.4212E+00,+3.5097E+00
-2.0100E+00,+2.8702E+00,+3.4150E+00,+3.5144E+00
-2.0000E+00,+2.8699E+00,+3.4025E+00,+3.5159E+00
-1.9900E+00,+2.8702E+00,+3.3962E+00,+3.5144E+00
-1.9800E+00,+2.8705E+00,+3.3775E+00,+3.5175E+00
-1.9700E+00,+2.8699E+00,+3.3525E+00,+3.5206E+00
-1.9600E+00,+2.8705E+00,+3.3337E+00,+3.5237E+00
-1.9500E+00,+2.8702E+00,+3.3275E+00,+3.5237E+00
-1.9400E+00,+2.8708E+00,+3.3150E+00,+3.5269E+00
-1.9300E+00,+2.8708E+00,+3.2900E+00,+3.5300E+00
-1.9200E+00,+2.8705E+00,+3.2712E+00,+3.5316E+00
-1.9100E+00,+2.8699E+00,+3.2462E+00,+3.5347E+00
-1.9000E+00,+2.8711E+00,+3.2275E+00,+3.5394E+00
-1.8900E+00,+2.8705E+00,+3.2025E+00,+3.5378E+00
-1.8800E+00,+2.8702E+00,+3.1775E+00,+3.5394E+00
-1.8700E+00,+2.8714E+00,+3.1587E+00,+3.5472E+00
-1.8600E+00,+2.8714E+00,+3.1337E+00,+3.5487E+00
-1.8500E+00,+2.8711E+00,+3.1025E+00,+3.5487E+00
-1.8400E+00,+2.8721E+00,+3.0837E+00,+3.5534E+00
-1.8300E+00,+2.8714E+00,+3.0712E+00,+3.5550E+00
-1.8200E+00,+2.8721E+00,+3.0337E+00,+3.5581E+00
-1.8100E+00,+2.8714E+00,+2.9962E+00,+3.5612E+00
-1.8000E+00,+2.8717E+00,+2.9900E+00,+3.5659E+00
-1.7900E+00,+2.8717E+00,+2.9650E+00,+3.5659E+00
-1.7800E+00,+2.8714E+00,+2.9212E+00,+3.5659E+00
-1.7700E+00,+2.8721E+00,+2.8650E+00,+3.5706E+00
-1.7600E+00,+2.8717E+00,+2.8337E+00,+3.5706E+00
-1.7500E+00,+2.8717E+00,+2.8275E+00,+3.5769E+00
-1.7400E+00,+2.8721E+00,+2.7962E+00,+3.5769E+00
-1.7300E+00,+2.8702E+00,+2.7587E+00,+3.5769E+00
-1.7200E+00,+2.8724E+00,+2.7150E+00,+3.5816E+00
-1.7100E+00,+2.8727E+00,+2.6962E+00,+3.5800E+00
-1.7000E+00,+2.8730E+00,+2.6712E+00,+3.5862E+00
-1.6900E+00,+2.8727E+00,+2.6400E+00,+3.5831E+00
-1.6800E+00,+2.8746E+00,+2.5962E+00,+3.5878E+00
-1.6700E+00,+2.8727E+00,+2.5650E+00,+3.5909E+00
-1.6600E+00,+2.8721E+00,+2.5400E+00,+3.5878E+00
